"postcode","ced_2016","num_in_ced_2016","proportion_in_ced_2016"
"2000","Sydney","1","1.0000"
"2006","Sydney","1","1.0000"
"2007","Sydney","1","1.0000"
"2008","Sydney","1","1.0000"
"2009","Sydney","1","1.0000"
"2010","Sydney","2","0.9784"
"2010","Wentworth","2","0.0216"
"2011","Wentworth","2","0.2914"
"2011","Sydney","2","0.7086"
"2015","Sydney","1","1.0000"
"2016","Sydney","1","1.0000"
"2017","Sydney","1","1.0000"
"2018","Kingsford Smith","2","0.6270"
"2018","Sydney","2","0.3730"
"2019","Kingsford Smith","1","1.0000"
"2020","Kingsford Smith","1","1.0000"
"2021","Wentworth","2","0.9510"
"2021","Kingsford Smith","2","0.0490"
"2022","Wentworth","1","1.0000"
"2023","Wentworth","1","1.0000"
"2024","Wentworth","1","1.0000"
"2025","Wentworth","1","1.0000"
"2026","Wentworth","1","1.0000"
"2027","Wentworth","1","1.0000"
"2028","Wentworth","1","1.0000"
"2029","Wentworth","1","1.0000"
"2030","Wentworth","1","1.0000"
"2031","Kingsford Smith","2","0.7225"
"2031","Wentworth","2","0.2775"
"2032","Kingsford Smith","1","1.0000"
"2033","Kingsford Smith","1","1.0000"
"2034","Kingsford Smith","1","1.0000"
"2035","Kingsford Smith","1","1.0000"
"2036","Kingsford Smith","1","1.0000"
"2037","Sydney","1","1.0000"
"2038","Grayndler","2","0.9376"
"2038","Sydney","2","0.0624"
"2039","Grayndler","1","1.0000"
"2040","Grayndler","1","1.0000"
"2041","Sydney","2","0.0261"
"2041","Grayndler","2","0.9739"
"2042","Grayndler","2","0.5175"
"2042","Sydney","2","0.4825"
"2043","Sydney","1","1.0000"
"2044","Barton","3","0.4810"
"2044","Grayndler","3","0.4427"
"2044","Sydney","3","0.0762"
"2045","Grayndler","1","1.0000"
"2046","Reid","1","1.0000"
"2047","Reid","1","1.0000"
"2048","Grayndler","1","1.0000"
"2049","Grayndler","1","1.0000"
"2050","Sydney","2","0.9575"
"2050","Grayndler","2","0.0425"
"2052","Kingsford Smith","1","1.0000"
"2060","North Sydney","1","1.0000"
"2061","North Sydney","1","1.0000"
"2062","North Sydney","1","1.0000"
"2063","North Sydney","1","1.0000"
"2064","North Sydney","1","1.0000"
"2065","North Sydney","1","1.0000"
"2066","North Sydney","1","1.0000"
"2067","North Sydney","3","0.5363"
"2067","Bradfield","3","0.4169"
"2067","Bennelong","3","0.0468"
"2068","North Sydney","1","1.0000"
"2069","Bradfield","1","1.0000"
"2070","Bradfield","1","1.0000"
"2071","Bradfield","1","1.0000"
"2072","Bradfield","1","1.0000"
"2073","Bradfield","1","1.0000"
"2074","Bradfield","1","1.0000"
"2075","Bradfield","1","1.0000"
"2076","Bradfield","2","0.9131"
"2076","Berowra","2","0.0869"
"2077","Berowra","2","0.7411"
"2077","Bradfield","2","0.2589"
"2079","Berowra","2","0.9063"
"2079","Bradfield","2","0.0937"
"2080","Berowra","1","1.0000"
"2081","Berowra","1","1.0000"
"2082","Berowra","1","1.0000"
"2083","Berowra","2","0.7229"
"2083","Robertson","2","0.2771"
"2084","Mackellar","1","1.0000"
"2085","Mackellar","1","1.0000"
"2086","Mackellar","2","0.8042"
"2086","Warringah","2","0.1958"
"2087","Warringah","2","0.6710"
"2087","Mackellar","2","0.3290"
"2088","Warringah","1","1.0000"
"2089","Warringah","2","0.7011"
"2089","North Sydney","2","0.2989"
"2090","North Sydney","2","0.5909"
"2090","Warringah","2","0.4091"
"2092","Warringah","1","1.0000"
"2093","Warringah","1","1.0000"
"2094","Warringah","1","1.0000"
"2095","Warringah","1","1.0000"
"2096","Warringah","1","1.0000"
"2097","Mackellar","1","1.0000"
"2099","Mackellar","2","0.8151"
"2099","Warringah","2","0.1849"
"2100","Mackellar","2","0.4422"
"2100","Warringah","2","0.5578"
"2101","Mackellar","1","1.0000"
"2102","Mackellar","1","1.0000"
"2103","Mackellar","1","1.0000"
"2104","Mackellar","1","1.0000"
"2105","Mackellar","1","1.0000"
"2106","Mackellar","1","1.0000"
"2107","Mackellar","1","1.0000"
"2108","Mackellar","1","1.0000"
"2109","Bennelong","1","1.0000"
"2110","North Sydney","2","0.9586"
"2110","Grayndler","2","0.0414"
"2111","Bennelong","2","0.6671"
"2111","North Sydney","2","0.3329"
"2112","Bennelong","1","1.0000"
"2113","Bennelong","1","1.0000"
"2114","Bennelong","1","1.0000"
"2115","Bennelong","2","0.9586"
"2115","Parramatta","2","0.0414"
"2116","Parramatta","1","1.0000"
"2117","Parramatta","1","1.0000"
"2118","Parramatta","3","0.5771"
"2118","Bennelong","3","0.2479"
"2118","Berowra","3","0.1750"
"2119","Berowra","2","0.8290"
"2119","Bennelong","2","0.1710"
"2120","Berowra","1","1.0000"
"2121","Bennelong","1","1.0000"
"2122","Bennelong","1","1.0000"
"2123","Parramatta","1","1.0000"
"2125","Berowra","2","0.7933"
"2125","Mitchell","2","0.2067"
"2126","Berowra","1","1.0000"
"2127","Reid","1","1.0000"
"2128","Reid","1","1.0000"
"2129","Reid","1","1.0000"
"2130","Grayndler","2","0.9076"
"2130","Watson","2","0.0924"
"2131","Watson","3","0.4574"
"2131","Grayndler","3","0.4394"
"2131","Reid","3","0.1032"
"2132","Watson","2","0.1799"
"2132","Reid","2","0.8201"
"2133","Watson","1","1.0000"
"2134","Reid","1","1.0000"
"2135","Reid","2","0.9442"
"2135","Watson","2","0.0558"
"2136","Watson","1","1.0000"
"2137","Reid","1","1.0000"
"2138","Reid","1","1.0000"
"2139","Reid","1","1.0000"
"2140","Reid","1","1.0000"
"2141","Reid","3","0.3285"
"2141","Blaxland","3","0.2726"
"2141","Watson","3","0.3989"
"2142","Parramatta","2","0.8604"
"2142","Blaxland","2","0.1396"
"2143","Blaxland","1","1.0000"
"2144","Blaxland","2","0.9633"
"2144","Reid","2","0.0367"
"2145","McMahon","3","0.5190"
"2145","Parramatta","3","0.3689"
"2145","Greenway","3","0.1120"
"2146","Greenway","3","0.3797"
"2146","Mitchell","3","0.0836"
"2146","Parramatta","3","0.5367"
"2147","Greenway","1","1.0000"
"2148","McMahon","3","0.3574"
"2148","Greenway","3","0.3476"
"2148","Chifley","3","0.2950"
"2150","Parramatta","1","1.0000"
"2151","Parramatta","2","0.6217"
"2151","Mitchell","2","0.3783"
"2152","Parramatta","2","0.2016"
"2152","Mitchell","2","0.7984"
"2153","Mitchell","1","1.0000"
"2154","Mitchell","2","0.8829"
"2154","Berowra","2","0.1171"
"2155","Mitchell","2","0.8030"
"2155","Greenway","2","0.1970"
"2156","Berowra","1","1.0000"
"2157","Berowra","1","1.0000"
"2158","Berowra","1","1.0000"
"2159","Berowra","1","1.0000"
"2160","McMahon","2","0.4377"
"2160","Parramatta","2","0.5623"
"2161","McMahon","3","0.7613"
"2161","Blaxland","3","0.2116"
"2161","Parramatta","3","0.0271"
"2162","Blaxland","1","1.0000"
"2163","Blaxland","2","0.7187"
"2163","Fowler","2","0.2813"
"2164","McMahon","1","1.0000"
"2165","McMahon","2","0.7605"
"2165","Fowler","2","0.2395"
"2166","Fowler","2","0.9601"
"2166","McMahon","2","0.0399"
"2167","Werriwa","1","1.0000"
"2168","Werriwa","1","1.0000"
"2170","Fowler","3","0.3909"
"2170","Werriwa","3","0.3535"
"2170","Hughes","3","0.2556"
"2171","Werriwa","1","1.0000"
"2172","Hughes","1","1.0000"
"2173","Macarthur","2","0.5168"
"2173","Hughes","2","0.4832"
"2174","Werriwa","1","1.0000"
"2175","McMahon","1","1.0000"
"2176","Fowler","2","0.9301"
"2176","McMahon","2","0.0699"
"2177","Werriwa","2","0.7042"
"2177","Fowler","2","0.2958"
"2178","McMahon","2","0.6175"
"2178","Werriwa","2","0.3825"
"2179","Macarthur","2","0.5057"
"2179","Werriwa","2","0.4943"
"2190","Watson","1","1.0000"
"2191","Watson","1","1.0000"
"2192","Watson","2","0.9651"
"2192","Barton","2","0.0349"
"2193","Barton","3","0.2909"
"2193","Grayndler","3","0.1717"
"2193","Watson","3","0.5374"
"2194","Watson","2","0.7965"
"2194","Barton","2","0.2035"
"2195","Watson","1","1.0000"
"2196","Watson","1","1.0000"
"2197","Blaxland","1","1.0000"
"2198","Blaxland","1","1.0000"
"2199","Blaxland","2","0.9706"
"2199","Watson","2","0.0294"
"2200","Blaxland","2","0.9331"
"2200","Watson","2","0.0669"
"2203","Grayndler","2","0.9046"
"2203","Barton","2","0.0954"
"2204","Grayndler","2","0.6191"
"2204","Barton","2","0.3809"
"2205","Barton","1","1.0000"
"2206","Barton","1","1.0000"
"2207","Barton","1","1.0000"
"2208","Barton","2","0.7303"
"2208","Watson","2","0.2697"
"2209","Banks","3","0.4979"
"2209","Barton","3","0.2879"
"2209","Watson","3","0.2141"
"2210","Banks","2","0.8997"
"2210","Watson","2","0.1003"
"2211","Banks","3","0.8874"
"2211","Blaxland","3","0.0799"
"2211","Watson","3","0.0327"
"2212","Banks","2","0.7102"
"2212","Blaxland","2","0.2898"
"2213","Banks","1","1.0000"
"2214","Blaxland","2","0.8693"
"2214","Banks","2","0.1307"
"2216","Barton","1","1.0000"
"2217","Cook","2","0.7679"
"2217","Barton","2","0.2321"
"2218","Banks","2","0.6231"
"2218","Barton","2","0.3769"
"2219","Cook","1","1.0000"
"2220","Barton","2","0.6467"
"2220","Banks","2","0.3533"
"2221","Cook","2","0.5582"
"2221","Banks","2","0.4418"
"2222","Banks","2","0.9796"
"2222","Barton","2","0.0204"
"2223","Banks","1","1.0000"
"2224","Cook","1","1.0000"
"2225","Hughes","1","1.0000"
"2226","Hughes","1","1.0000"
"2227","Cook","2","0.9617"
"2227","Hughes","2","0.0383"
"2228","Cook","1","1.0000"
"2229","Cook","1","1.0000"
"2230","Cook","2","0.8399"
"2230","Hughes","2","0.1601"
"2231","Cook","1","1.0000"
"2232","Hughes","1","1.0000"
"2233","Hughes","1","1.0000"
"2234","Hughes","1","1.0000"
"2250","Robertson","3","0.8589"
"2250","Dobell","3","0.1204"
"2250","Hunter","3","0.0206"
"2251","Robertson","1","1.0000"
"2256","Robertson","1","1.0000"
"2257","Robertson","1","1.0000"
"2258","Dobell","1","1.0000"
"2259","Dobell","3","0.8091"
"2259","Hunter","3","0.1027"
"2259","Shortland","3","0.0883"
"2260","Robertson","2","0.5485"
"2260","Dobell","2","0.4515"
"2261","Dobell","1","1.0000"
"2262","Dobell","2","0.2242"
"2262","Shortland","2","0.7758"
"2263","Dobell","1","1.0000"
"2264","Hunter","1","1.0000"
"2265","Hunter","1","1.0000"
"2267","Hunter","1","1.0000"
"2278","Hunter","1","1.0000"
"2280","Shortland","1","1.0000"
"2281","Shortland","1","1.0000"
"2282","Shortland","1","1.0000"
"2283","Hunter","1","1.0000"
"2284","Shortland","2","0.2375"
"2284","Hunter","2","0.7625"
"2285","Hunter","3","0.5810"
"2285","Shortland","3","0.2867"
"2285","Newcastle","3","0.1323"
"2286","Hunter","1","1.0000"
"2287","Newcastle","2","0.9332"
"2287","Hunter","2","0.0668"
"2289","Newcastle","2","0.6515"
"2289","Shortland","2","0.3485"
"2290","Shortland","1","1.0000"
"2291","Newcastle","1","1.0000"
"2292","Newcastle","1","1.0000"
"2293","Newcastle","1","1.0000"
"2294","Newcastle","1","1.0000"
"2295","Paterson","2","0.6991"
"2295","Newcastle","2","0.3009"
"2296","Newcastle","1","1.0000"
"2297","Newcastle","1","1.0000"
"2298","Newcastle","1","1.0000"
"2299","Newcastle","1","1.0000"
"2300","Newcastle","1","1.0000"
"2302","Newcastle","1","1.0000"
"2303","Newcastle","1","1.0000"
"2304","Newcastle","1","1.0000"
"2305","Newcastle","1","1.0000"
"2306","Shortland","1","1.0000"
"2307","Newcastle","1","1.0000"
"2308","Newcastle","1","1.0000"
"2311","Lyne","1","1.0000"
"2312","Lyne","1","1.0000"
"2314","Paterson","1","1.0000"
"2315","Paterson","1","1.0000"
"2316","Paterson","1","1.0000"
"2317","Paterson","1","1.0000"
"2318","Paterson","1","1.0000"
"2319","Paterson","1","1.0000"
"2320","Hunter","3","0.3975"
"2320","Lyne","3","0.3817"
"2320","Paterson","3","0.2208"
"2321","Lyne","2","0.7856"
"2321","Paterson","2","0.2144"
"2322","Paterson","2","0.8940"
"2322","Newcastle","2","0.1060"
"2323","Hunter","2","0.6058"
"2323","Paterson","2","0.3942"
"2324","Lyne","2","0.7941"
"2324","Paterson","2","0.2059"
"2325","Hunter","1","1.0000"
"2326","Paterson","1","1.0000"
"2327","Paterson","1","1.0000"
"2328","Hunter","1","1.0000"
"2329","New England","2","0.9347"
"2329","Parkes","2","0.0653"
"2330","Hunter","2","0.9662"
"2330","Calare","2","0.0338"
"2331","Hunter","1","1.0000"
"2333","Hunter","2","0.8932"
"2333","New England","2","0.1068"
"2334","Hunter","1","1.0000"
"2335","Hunter","2","0.9597"
