"POSTCODE","DISTRICT","area_sqkm","proportion_in_district"
"3688","Benambra","191.855","1"
"3597","Mildura","1148.708","1"
"3921","Hastings","170.564","1"
"3793","Monbulk","20.28","1"
"3472","Bendigo West","26.274","0.05389649"
"3472","Ripon","461.216","0.94610351"
"3551","Bendigo West","132.988","0.077676413"
"3551","Euroa","413.023","0.241240902"
"3551","Bendigo East","700.943","0.409410909"
"3551","Ripon","465.123","0.271671776"
"3624","Euroa","84.054","1"
"3614","Euroa","28.75","0.340498608"
"3614","Shepparton","55.685","0.659501392"
"3475","Ripon","508.301","1"
"3647","Shepparton","16.525","1"
"3660","Eildon","201.441","0.320819564"
"3660","Euroa","426.454","0.679180436"
"3690","Benambra","81.137","1"
"3749","Benambra","183.693","1"
"3695","Benambra","181.818","1"
"3805","Narre Warren South","13.052","0.486234773"
"3805","Narre Warren North","13.791","0.513765227"
"3789","Monbulk","6.606","1"
"3786","Monbulk","4.497","1"
"3156","Bayswater","7.903","0.147954694"
"3156","Monbulk","26.591","0.497818965"
"3156","Rowville","14.346","0.268576243"
"3156","Narre Warren North","4.575","0.085650098"
"3678","Ovens Valley","2457.372","1"
"3498","Mildura","64.618","1"
"3505","Mildura","537.545","1"
"3188","Sandringham","2.366","0.416842847"
"3188","Brighton","3.31","0.583157153"
"3590","Murray Plains","26.345","1"
"3586","Murray Plains","213.231","1"
"3400","Lowan","23.874","1"
"3373","Ripon","888.541","1"
"3579","Murray Plains","1943.262","1"
"3764","Euroa","438.925","1"
"3701","Benambra","2780.923","0.922549172"
"3701","Gippsland East","233.467","0.077450828"
"3458","Macedon","346.879","1"
"3673","Euroa","885.09","1"
"3722","Eildon","420.761","1"
"3966","Gippsland South","128.789","1"
"3665","Euroa","185.135","1"
"3664","Euroa","229.73","1"
"3669","Euroa","811.555","1"
"3478","Mildura","121.66","0.248147967"
"3478","Ripon","368.612","0.751852033"
"3364","Bendigo West","88.767","0.153512913"
"3364","Eureka","21.032","0.036372566"
"3364","Ripon","468.439","0.81011452"
"3451","Bendigo West","198.448","0.631503244"
"3451","Macedon","115.799","0.368496756"
"3462","Bendigo West","140.358","1"
"3463","Bendigo West","392.282","0.795345706"
"3463","Ripon","100.94","0.204654294"
"3447","Macedon","48.575","1"
"3446","Macedon","81.403","1"
"3753","Kalkallo","71.002","0.636475281"
"3753","Yan Yean","40.553","0.363524719"
"3030","Point Cook","72.118","0.304847171"
"3030","Werribee","164.453","0.695152829"
"3243","Polwarth","253.734","1"
"3236","Polwarth","48.054","1"
"3756","Kalkallo","57.999","0.29044519"
"3756","Yan Yean","42.978","0.215223597"
"3756","Macedon","98.713","0.494331213"
"3461","Bendigo West","27.02","0.048385913"
"3461","Eureka","12.021","0.021526538"
"3461","Macedon","519.386","0.930087549"
"3301","South-West Coast","115.242","0.117875576"
"3301","Lowan","862.416","0.882124424"
"3283","South-West Coast","382.511","1"
"3285","South-West Coast","417.568","1"
"3279","South-West Coast","125.906","1"
"3027","Point Cook","3.464","0.475954933"
"3027","Laverton","3.814","0.524045067"
"3589","Murray Plains","30.214","1"
"3925","Bass","28.592","1"
"3167","Clarinda","2.81","0.422556391"
"3167","Oakleigh","3.84","0.577443609"
"3564","Murray Plains","640.06","1"
"3620","Euroa","38.382","0.106599196"
"3620","Murray Plains","321.677","0.893400804"
"3063","Kalkallo","39.158","0.878770197"
"3063","Sunbury","5.402","0.121229803"
"3075","Thomastown","9.288","1"
"3000","Melbourne","2.698","1"
"3735","Ovens Valley","207.884","1"
"3049","Greenvale","7.624","0.776137636"
"3049","Sunbury","2.199","0.223862364"
"3015","Williamstown","8.879","1"
"3616","Euroa","147.101","0.528474942"
"3616","Murray Plains","17.232","0.06190767"
"3616","Shepparton","114.017","0.409617388"
"3634","Ovens Valley","7.408","0.023986919"
"3634","Shepparton","301.427","0.976013081"
"3610","Euroa","265.028","1"
"3363","Ripon","159.936","1"
"3683","Benambra","267.604","1"
"3309","Lowan","113.804","1"
"3633","Shepparton","54.222","1"
"3687","Benambra","36.532","1"
"3691","Ovens Valley","452.51","0.248525903"
"3691","Benambra","1368.266","0.751474097"
"3685","Ovens Valley","38.598","0.109686751"
"3685","Benambra","313.295","0.890313249"
"3744","Ovens Valley","54.393","1"
"3194","Clarinda","4.802","0.646821121"
"3194","Sandringham","2.622","0.353178879"
"3140","Evelyn","29.154","1"
"3806","Berwick","42.146","0.905411502"
"3806","Narre Warren North","4.403","0.094588498"
"3940","Nepean","4.662","1"
"3282","South-West Coast","62.711","1"
"3216","South Barwon","48.98","0.875393194"
"3216","Geelong","6.972","0.124606806"
"3791","Monbulk","12.082","1"
"3713","Eildon","676.96","1"
"3737","Ovens Valley","1763.474","1"
"3588","Murray Plains","32.898","1"
"3393","Lowan","1253.705","0.91188029"
"3393","Mildura","121.152","0.08811971"
"3556","Bendigo West","56.983","0.225004245"
"3556","Bendigo East","153.637","0.606654215"
"3556","Ripon","42.633","0.16834154"
"3893","Gippsland East","375.52","1"
"3277","South-West Coast","211.849","1"
"3047","Broadmeadows","12","1"
"3896","Gippsland East","1109.145","1"
"3227","South Barwon","35.326","0.478186125"
"3227","Bellarine","38.549","0.521813875"
"3910","Hastings","28.744","1"
"3621","Murray Plains","185.641","1"
"3392","Lowan","577.634","1"
"3390","Lowan","470.347","1"
"3388","Lowan","413.892","0.837229625"
"3388","Ripon","80.467","0.162770375"
"3385","Lowan","837.619","1"
"3401","Lowan","4614.169","1"
"3464","Bendigo West","17.879","0.146132344"
"3464","Ripon","104.469","0.853867656"
"3465","Ripon","869.914","1"
"3480","Lowan","128.286","0.088436143"
"3480","Mildura","1052.943","0.725864225"
"3480","Ripon","269.377","0.185699632"
"3765","Evelyn","8.198","0.736898876"
"3765","Monbulk","2.927","0.263101124"
"3206","Albert Park","3.731","1"
"3136","Croydon","22.823","1"
"3168","Oakleigh","9.472","1"
"3115","Warrandyte","22.907","1"
"3777","Eildon","375.013","1"
"3795","Evelyn","3.441","0.114353129"
"3795","Monbulk","26.65","0.885646871"
"3159","Monbulk","14.028","1"
"3808","Berwick","16.007","0.452763478"
"3808","Pakenham","19.347","0.547236522"
"3137","Monbulk","2.934","0.229757244"
"3137","Croydon","9.836","0.770242756"
"3796","Evelyn","16.784","0.966263673"
"3796","Monbulk","0.586","0.033736327"
"3799","Eildon","705.813","1"
"3482","Lowan","45.43","0.080694151"
