SA1_CODE21,Electorate,proportion
10102100701,Eden-Monaro,1
10102100702,Eden-Monaro,1
10102100703,Eden-Monaro,1
10102100704,Eden-Monaro,1
10102100705,Eden-Monaro,1
10102100706,Eden-Monaro,1
10102100707,Eden-Monaro,1
10102100708,Eden-Monaro,1
10102100709,Eden-Monaro,1
10102100710,Eden-Monaro,1
10102100801,Eden-Monaro,1
10102100802,Eden-Monaro,1
10102100803,Eden-Monaro,1
10102100804,Eden-Monaro,1
10102100805,Eden-Monaro,1
10102100806,Eden-Monaro,1
10102100807,Eden-Monaro,1
10102100808,Eden-Monaro,1
10102100809,Eden-Monaro,1
10102100810,Eden-Monaro,1
10102100811,Eden-Monaro,1
10102100812,Eden-Monaro,1
10102100813,Eden-Monaro,1
10102100814,Eden-Monaro,1
10102100815,Eden-Monaro,1
10102100816,Eden-Monaro,1
10102100817,Eden-Monaro,1
10102100818,Eden-Monaro,1
10102100819,Eden-Monaro,1
10102100820,Eden-Monaro,1
10102100821,Eden-Monaro,1
10102100822,Eden-Monaro,1
10102100823,Eden-Monaro,1
10102100901,Eden-Monaro,1
10102100902,Eden-Monaro,1
10102100904,Eden-Monaro,1
10102100905,Eden-Monaro,1
10102100907,Eden-Monaro,1
10102100908,Eden-Monaro,1
10102100909,Eden-Monaro,1
10102100910,Eden-Monaro,1
10102100911,Eden-Monaro,1
10102100912,Eden-Monaro,1
10102100913,Eden-Monaro,1
10102100914,Eden-Monaro,1
10102100915,Eden-Monaro,1
10102100916,Eden-Monaro,1
10102100917,Eden-Monaro,1
10102100918,Eden-Monaro,1
10102100919,Eden-Monaro,1
10102100920,Eden-Monaro,1
10102100921,Eden-Monaro,1
10102100923,Eden-Monaro,1
10102100924,Eden-Monaro,1
10102100925,Eden-Monaro,1
10102100926,Eden-Monaro,1
10102100927,Eden-Monaro,1
10102100928,Eden-Monaro,1
10102100929,Eden-Monaro,1
10102101001,Eden-Monaro,1
10102101002,Eden-Monaro,1
10102101003,Eden-Monaro,1
10102101004,Eden-Monaro,1
10102101006,Eden-Monaro,1
10102101007,Eden-Monaro,1
10102101008,Eden-Monaro,1
10102101009,Eden-Monaro,1
10102101010,Eden-Monaro,1
10102101011,Eden-Monaro,1
10102101012,Eden-Monaro,1
10102101013,Eden-Monaro,1
10102101014,Eden-Monaro,1
10102101015,Eden-Monaro,1
10102101016,Eden-Monaro,1
10102101017,Eden-Monaro,1
10102101201,Eden-Monaro,1
10102101202,Eden-Monaro,1
10102101203,Eden-Monaro,1
10102101204,Eden-Monaro,1
10102101205,Eden-Monaro,1
10102101206,Eden-Monaro,1
10102101207,Eden-Monaro,1
10102101208,Eden-Monaro,1
10102101209,Eden-Monaro,1
10102101210,Eden-Monaro,1
10102101211,Eden-Monaro,1
10102101212,Eden-Monaro,1
10102101213,Eden-Monaro,1
10102101214,Eden-Monaro,1
10102101215,Eden-Monaro,1
10102101216,Eden-Monaro,1
10102101217,Eden-Monaro,1
10102101218,Eden-Monaro,1
10102101219,Eden-Monaro,1
10102101220,Eden-Monaro,1
10102101221,Eden-Monaro,1
10102101222,Eden-Monaro,1
10102101223,Eden-Monaro,1
10102101224,Eden-Monaro,1
10102101225,Eden-Monaro,1
10102101226,Eden-Monaro,1
10102101227,Eden-Monaro,1
10102101228,Eden-Monaro,1
10102101229,Eden-Monaro,1
10102101230,Eden-Monaro,1
10102101231,Eden-Monaro,1
10102101232,Eden-Monaro,1
10102161001,Eden-Monaro,1
10102161002,Eden-Monaro,1
10102161003,Eden-Monaro,1
10102161004,Eden-Monaro,1
10102161005,Eden-Monaro,1
10102161006,Eden-Monaro,1
10102161007,Eden-Monaro,1
10102161008,Eden-Monaro,1
10102161009,Eden-Monaro,1
10102161010,Eden-Monaro,1
10102161011,Eden-Monaro,1
10102161012,Eden-Monaro,1
10102161013,Eden-Monaro,1
10102161014,Eden-Monaro,1
10102161015,Eden-Monaro,1
10102161101,Eden-Monaro,1
10102161102,Eden-Monaro,1
10102161103,Eden-Monaro,1
10102161104,Eden-Monaro,1
10102161105,Eden-Monaro,1
10102161106,Eden-Monaro,1
10102161107,Eden-Monaro,1
10102161108,Eden-Monaro,1
10102161109,Eden-Monaro,1
10102161110,Eden-Monaro,1
10102161111,Eden-Monaro,1
10102161112,Eden-Monaro,1
10102161113,Eden-Monaro,1
10102161114,Eden-Monaro,1
10102161115,Eden-Monaro,1
10102161116,Eden-Monaro,1
10102161117,Eden-Monaro,1
10102161118,Eden-Monaro,1
10102161119,Eden-Monaro,1
10102161120,Eden-Monaro,1
10102161121,Eden-Monaro,1
10102161122,Eden-Monaro,1
10102161123,Eden-Monaro,1
10102161124,Eden-Monaro,1
10102161125,Eden-Monaro,1
10102161126,Eden-Monaro,1
10102161127,Eden-Monaro,1
10102161128,Eden-Monaro,1
10102161129,Eden-Monaro,1
10102161130,Eden-Monaro,1
10102161131,Eden-Monaro,1
10102161132,Eden-Monaro,1
10102161133,Eden-Monaro,1
10102161134,Eden-Monaro,1
10102161135,Eden-Monaro,1
10102161136,Eden-Monaro,1
10102161137,Eden-Monaro,1
10102161138,Eden-Monaro,1
10102161139,Eden-Monaro,1
10102161140,Eden-Monaro,1
10102161141,Eden-Monaro,1
10102161142,Eden-Monaro,1
10102161143,Eden-Monaro,1
10102161144,Eden-Monaro,1
10102161145,Eden-Monaro,1
10102161146,Eden-Monaro,1
10103101301,Eden-Monaro,1
10103101302,Eden-Monaro,1
10103101303,Eden-Monaro,1
10103101304,Eden-Monaro,1
10103101305,Eden-Monaro,1
10103101306,Eden-Monaro,1
10103101307,Eden-Monaro,1
10103101308,Eden-Monaro,1
10103101401,Eden-Monaro,1
10103101402,Eden-Monaro,1
10103101403,Eden-Monaro,1
10103101404,Eden-Monaro,1
10103101405,Eden-Monaro,1
10103101406,Eden-Monaro,1
10103101407,Eden-Monaro,1
10103101408,Eden-Monaro,1
10103101409,Eden-Monaro,1
10103101410,Eden-Monaro,1
10103101411,Eden-Monaro,1
10103101412,Eden-Monaro,1
10103101414,Eden-Monaro,1
10103101415,Eden-Monaro,1
