"SA1_CODE_2016","district","proportion_in_district"
2100101,Wendouree,1
2100102,Wendouree,1
2100105,Wendouree,1
2100106,Wendouree,1
2100107,Wendouree,1
2100108,Wendouree,1
2100109,Wendouree,1
2100110,Wendouree,1
2100111,Wendouree,1
2100112,Wendouree,1
2100113,Wendouree,1
2100114,Wendouree,1
2100115,Ripon,1
2100117,Wendouree,1
2100118,Wendouree,1
2100119,Ripon,1
2100120,Wendouree,1
2100121,Wendouree,1
2100122,Ripon,1
2100123,Wendouree,1
2100124,Wendouree,1
2100201,Wendouree,1
2100202,Wendouree,1
2100203,Wendouree,1
2100204,Wendouree,1
2100205,Wendouree,1
2100206,Wendouree,1
2100207,Wendouree,1
2100208,Wendouree,1
2100209,Wendouree,1
2100210,Wendouree,1
2100211,Wendouree,1
2100212,Wendouree,1
2100213,Wendouree,1
2100214,Wendouree,1
2100215,Wendouree,1
2100216,Wendouree,1
2100217,Wendouree,1
2100218,Wendouree,1
2100219,Wendouree,1
2100220,Wendouree,1
2100221,Wendouree,1
2100222,Wendouree,1
2100223,Wendouree,1
2100224,Wendouree,1
2100225,Wendouree,1
2100226,Wendouree,1
2100227,Wendouree,1
2100228,Wendouree,1
2100229,Wendouree,1
2100230,Wendouree,1
2100231,Wendouree,1
2100232,Wendouree,1
2100233,Wendouree,1
2100234,Eureka,1
2100301,Ripon,1
2100302,Eureka,1
2100303,Eureka,0.8547
2100303,Wendouree,0.1453
2100304,Eureka,0.9675
2100304,Wendouree,0.0325
2100305,Eureka,1
2100306,Eureka,1
2100307,Eureka,1
2100308,Eureka,1
2100309,Eureka,1
2100310,Eureka,1
2100311,Eureka,0.3165
2100311,Ripon,0.6835
2100312,Eureka,1
2100313,Ripon,0.0596
2100313,Wendouree,0.9404
2100314,Wendouree,1
2100315,Ripon,0.0229
2100315,Wendouree,0.9771
2100316,Wendouree,1
2100317,Wendouree,1
2100318,Wendouree,1
2100319,Wendouree,1
2100320,Wendouree,1
2100321,Wendouree,1
2100322,Wendouree,1
2100323,Wendouree,1
2100324,Wendouree,1
2100325,Wendouree,1
2100326,Wendouree,1
2100327,Ripon,0.0393
2100327,Wendouree,0.9607
2100328,Wendouree,1
2100329,Ripon,0.0594
2100329,Wendouree,0.9406
2100330,Wendouree,1
2100331,Wendouree,1
2100332,Wendouree,1
2100333,Eureka,1
2100334,Wendouree,1
2100335,Wendouree,1
2100336,Wendouree,1
2100337,Ripon,1
2100338,Eureka,1
2100339,Eureka,1
2100340,Eureka,1
2100341,Eureka,1
2100342,Eureka,1
2100343,Eureka,0.9718
2100343,Wendouree,0.0282
2100344,Eureka,1
2100345,Ripon,0.0254
2100345,Wendouree,0.9746
2100346,Eureka,0.9487
2100346,Wendouree,0.0513
2100347,Ripon,1
2100348,Eureka,1
2100349,Eureka,1
2100350,Eureka,1
2100351,Eureka,1
2100401,Eureka,0.0291
2100401,Wendouree,0.9709
2100402,Eureka,0.0209
2100402,Wendouree,0.9791
2100404,Eureka,1
2100405,Eureka,1
2100406,Eureka,1
2100407,Eureka,0.9547
2100407,Wendouree,0.0453
2100408,Eureka,1
2100409,Eureka,1
2100410,Eureka,1
2100411,Eureka,0.9657
2100411,Wendouree,0.0343
2100412,Eureka,1
2100413,Eureka,1
2100414,Eureka,1
2100415,Eureka,1
2100416,Eureka,1
2100417,Eureka,1
2100418,Wendouree,1
2100419,Eureka,1
2100420,Eureka,1
2100421,Eureka,1
2100422,Eureka,1
2100423,Eureka,1
2100424,Wendouree,1
2100425,Wendouree,1
2100426,Wendouree,1
2100427,Wendouree,1
2100428,Wendouree,1
2100429,Eureka,1
2100430,Eureka,0.0645
2100430,Wendouree,0.9355
2100431,Wendouree,1
2100432,Wendouree,1
2100433,Wendouree,1
2100434,Eureka,0.0373
2100434,Wendouree,0.9627
2100435,Wendouree,1
2100436,Wendouree,1
2100437,Wendouree,1
2100438,Wendouree,1
2100439,Wendouree,1
2100440,Wendouree,1
2100441,Wendouree,1
2100442,Eureka,1
2100443,Eureka,1
2100444,Eureka,1
2100445,Wendouree,1
2100446,Wendouree,1
2100447,Wendouree,1
2100448,Wendouree,1
2100449,Wendouree,1
2100451,Eureka,1
2100452,Wendouree,1
2100453,Eureka,1
2100454,Wendouree,1
2100455,Wendouree,1
2100456,Eureka,1
2100501,Eureka,1
2100502,Eureka,1
2100504,Eureka,1
2100505,Eureka,1
2100506,Eureka,1
2100507,Eureka,1
2100508,Eureka,1
2100509,Eureka,1
2100510,Eureka,1
2100511,Eureka,1
2100512,Eureka,1
2100513,Eureka,1
2100514,Eureka,1
2100515,Eureka,1
2100516,Eureka,1
2100517,Eureka,1
2100518,Eureka,1
2100519,Eureka,1
2100601,Wendouree,1
2100602,Wendouree,1
2100603,Wendouree,1
2100604,Wendouree,1
2100605,Wendouree,1
2100606,Ripon,0.8733
2100606,Wendouree,0.1267
2100607,Ripon,1
2100608,Wendouree,1
2100610,Wendouree,1
2100611,Wendouree,1
2100612,Wendouree,1
2100613,Wendouree,1
2100614,Wendouree,1
2100615,Wendouree,1
2100616,Wendouree,1
2100617,Wendouree,1
2100701,Ripon,1
2100702,Ripon,1
2100703,Ripon,1
2100704,Ripon,1
2100705,Ripon,1
2100706,Ripon,1
2100707,Ripon,1
2100708,Ripon,1
2100709,Ripon,1
2100801,Wendouree,1
2100804,Wendouree,1
2100805,Wendouree,1
2100806,Wendouree,1
2100807,Wendouree,1
2100808,Wendouree,1
2100809,Wendouree,1
2100810,Ripon,0.0321
2100810,Wendouree,0.9679
2100811,Ripon,0.0204
2100811,Wendouree,0.9796
2100812,Wendouree,1
2100813,Wendouree,1
2100814,Wendouree,1
2100815,Wendouree,1
2100816,Ripon,1
2100818,Ripon,1
2100820,Wendouree,1
2100821,Wendouree,1
2100822,Wendouree,1
2100823,Wendouree,1
2100824,Wendouree,1
2100825,Wendouree,1
2100826,Wendouree,1
2100827,Wendouree,1
2100828,Wendouree,1
2100829,Wendouree,1
2100830,Wendouree,1
2100831,Wendouree,1
2100832,Wendouree,1
2100833,Wendouree,1
2100834,Wendouree,1
2100835,Ripon,1
2100836,Ripon,1
2100837,Ripon,1
2100838,Ripon,1
2100839,Ripon,1
2100840,Ripon,1
2100841,Ripon,1
2100842,Ripon,1
2100843,Ripon,1
2100844,Ripon,1
2100845,Ripon,1
2100901,Eureka,1
2100902,Eureka,1
2100903,Macedon,1
2100904,Eureka,1
2100905,Macedon,1
2100906,Eureka,1
2100907,Eureka,0.4106
2100907,Macedon,0.5894
2100908,Eureka,1
2100909,Eureka,1
2100910,Eureka,1
2100911,Eureka,1
2100912,Eureka,1
2100913,Eureka,1
2100914,Eureka,1
2100915,Eureka,1
2100916,Eureka,1
2100917,Eureka,1
2101001,Ripon,1
2101002,Ripon,1
2101003,Ripon,1
2101004,Ripon,1
2101005,Ripon,1
2101006,Ripon,1
2101007,Eureka,0.0908
2101007,Ripon,0.9092
2101008,Ripon,1
2101009,Ripon,1
2101010,Ripon,1
2101011,Ripon,1
2101012,Ripon,1
2101013,Ripon,1
2101014,Ripon,1
2101015,Ripon,1
2101016,Ripon,1
2101017,Ripon,1
2101018,Ripon,1
2101021,Ripon,1
2101022,Ripon,1
2101023,Ripon,1
2101024,Ripon,1
2101025,Ripon,1
2101101,Macedon,1
2101102,Ripon,1
2101103,Ripon,1
2101104,Macedon,1
2101105,Macedon,1
2101106,Macedon,1
2101107,Macedon,1
2101108,Macedon,1
2101109,Macedon,1
2101110,Macedon,1
2101111,Macedon,1
2101112,Macedon,1
2101113,Macedon,1
2101114,Macedon,1
2101115,Macedon,1
2101116,Macedon,1
2101117,Macedon,1
2101118,Macedon,1
2101119,Macedon,1
2101120,Macedon,0.5643
2101120,Ripon,0.4357
2101121,Macedon,1
2101122,Macedon,1
2101123,Macedon,1
2101124,Macedon,1
2101125,Macedon,1
2101201,Eureka,1
2101202,Eureka,1
2101203,Eureka,1
2101204,Eureka,1
2101205,Eureka,1
2101206,Eureka,1
2101207,Eureka,1
2101208,Eureka,1
2101209,Eureka,1
2101210,Eureka,1
2101211,Eureka,0.8335
2101211,Ripon,0.1665
2101212,Eureka,1
2101213,Eureka,1
2101214,Eureka,1
2101215,Eureka,1
2101216,Eureka,1
2101217,Eureka,1
2101301,Ripon,1
2101302,Ripon,1
2101303,Ripon,1
2101304,Ripon,1
2101305,Ripon,1
2101306,Ripon,1
2101307,Ripon,1
2101308,Ripon,1
2101309,Ripon,1
2101310,Ripon,1
2101401,Ripon,1
2101402,Ripon,1
2101403,Ripon,1
2101404,Ripon,1
2101405,Ripon,1
2101406,Ripon,1
2101407,Ripon,1
2101408,Ripon,1
2101409,Ripon,1
2101410,Ripon,1
2101411,Ripon,1
2101412,Ripon,1
2101413,Ripon,1
2101501,Ripon,1
2101502,Eureka,0.9721
2101502,Ripon,0.0279
2101503,Ripon,1
2101504,Ripon,1
2101505,Eureka,1
2101506,Ripon,1
2101507,Ripon,1
2101508,Ripon,1
2101509,Eureka,1
2101510,Eureka,1
2101511,Ripon,1
2101512,Ripon,1
2101601,Ripon,1
2101602,Ripon,1
2101603,Ripon,1
2101604,Ripon,1
2101605,Ripon,1
2101606,Ripon,1
2101607,Ripon,1
2101608,Ripon,1
2101609,Ripon,1
2101610,Ripon,1
2101611,Ripon,1
2101612,Ripon,1
2101613,Ripon,1
2101614,Ripon,1
2101615,Ripon,1
2101616,Ripon,1
2101617,Ripon,1
2101618,Ripon,1
2101619,Ripon,1
2101620,Ripon,1
2101621,Ripon,1
2101701,Ripon,1
2101702,Ripon,1
2101703,Ripon,1
2101704,Ripon,1
2101705,Ripon,1
2101706,Ripon,1
2101707,Ripon,1
2101708,Ripon,1
2101709,Ripon,1
2101710,Ripon,1
2101711,Bendigo West,0.1169
2101711,Ripon,0.8831
2101712,Ripon,1
2101713,Ripon,1
2101714,Ripon,1
2101715,Ripon,1
2101801,Bendigo West,1
2101802,Bendigo East,1
2101803,Bendigo East,0.4356
2101803,Bendigo West,0.5644
2101804,Bendigo East,1
2101805,Bendigo East,0.924
2101805,Bendigo West,0.076
2101806,Bendigo West,1
2101807,Bendigo West,1
2101808,Bendigo West,1
2101809,Bendigo West,1
2101810,Bendigo West,1
2101811,Bendigo West,1
2101812,Bendigo West,1
2101813,Bendigo East,0.0296
2101813,Bendigo West,0.9704
2101814,Bendigo West,1
2101815,Bendigo West,1
